age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26, Private,265952, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,34, England, <=50K
34, Self-emp-not-inc,86006, Bachelors,13, Married-spouse-absent, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, South, <=50K
27, Private,179482, 7th-8th,4, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,12, United-States, <=50K
28, Self-emp-not-inc,71378, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,2,0,40, United-States, <=50K
52, Private,54201, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male,1,0,57, United-States, <=50K
39, Self-emp-not-inc,127360, Bachelors,13, Married-civ-spouse, Sales, Husband, Other, Male,0,0,21, United-States, <=50K
46, Private,228876, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,15,0,40, United-States, <=50K
21, ?,103722, Some-college,10, Never-married, ?, Own-child, White, Male,22,0,30, United-States, <=50K
56, Local-gov,162699, Bachelors,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
25, Private,254156, Assoc-voc,11, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
24, Federal-gov,343935, Some-college,10, Never-married, Protective-serv, Own-child, Black, Male,2,0,35, United-States, <=50K
30, Self-emp-not-inc,334721, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,21,1790,71, United-States, <=50K
65, Private,174084, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,56, United-States, >50K
42, Private,194685, 10th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,56, United-States, >50K
43, Private,270489, 7th-8th,4, Married-spouse-absent, Machine-op-inspct, Other-relative, White, Male,0,0,40, Puerto-Rico, <=50K
29, Private,233538, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,10,0,40, United-States, <=50K
24, Private,105714, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Private,110022, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,3811,0,40, South, <=50K
60, Private,255366, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
63, Private,112131, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,67, United-States, <=50K
47, Federal-gov,39904, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,64, United-States, <=50K
23, Federal-gov,306838, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Male,7,0,40, United-States, <=50K
52, Private,186404, HS-grad,9, Never-married, Sales, Not-in-family, Black, Male,22,0,35, Puerto-Rico, <=50K
42, Self-emp-not-inc,274319, Some-college,10, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,3377,0,40, United-States, <=50K
39, Federal-gov,324781, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,18,1966,35, United-States, >50K
48, Private,96149, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,2941,0,40, United-States, <=50K
19, Private,307420, 11th,7, Separated, Other-service, Unmarried, Black, Female,0,0,6, United-States, <=50K
34, Self-emp-inc,289270, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,73, United-States, <=50K
53, ?,157154, HS-grad,5, Married-civ-spouse, ?, Wife, White, Female,4323,0,40, United-States, <=50K
45, Private,141384, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,15216,0,35, United-States, >50K
34, Private,49128, 9th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
49, Federal-gov,285933, HS-grad,9, Separated, Transport-moving, Other-relative, Black, Male,11,0,35, United-States, <=50K
20, Private,217256, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,16,0,40, United-States, <=50K
25, Private,117314, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,30, South, <=50K
59, Local-gov,317739, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,202027, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,5,0,40, United-States, >50K
27, Private,344867, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,35,0,40, United-States, <=50K
82, Private,237615, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,25,0,49, United-States, <=50K
27, Private,127552, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,15,0,9, United-States, <=50K
26, Self-emp-not-inc,54053, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,3281,0,44, United-States, <=50K
38, Private,211890, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
27, Federal-gov,107631, Assoc-voc,11, Never-married, Tech-support, Unmarried, White, Female,0,0,40, Cuba, <=50K
46, Private,409872, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,58, United-States, >50K
30, Local-gov,197176, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,43, United-States, <=50K
39, Private,351729, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Black, Male,1,0,40, Canada, >50K
43, Federal-gov,107232, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,26,0,36, United-States, >50K
41, Private,360179, HS-grad,9, Never-married, Exec-managerial, Other-relative, White, Male,16,0,45, United-States, <=50K
19, ?,71389, 11th,7, Never-married, ?, Own-child, White, Female,5,0,22, United-States, <=50K
61, Private,188434, Prof-school,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private,211293, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,21, United-States, <=50K
58, Self-emp-not-inc,182183, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,52,0,63, United-States, <=50K
88, Self-emp-inc,138399, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,22,0,56, United-States, <=50K
27, Self-emp-not-inc,39726, 10th,5, Never-married, Farming-fishing, Husband, White, Male,0,0,67, United-States, <=50K
38, Private,181686, Doctorate,16, Married-AF-spouse, Prof-specialty, Husband, White, Male,24,0,40, India, >50K
20, Private,333351, 5th-6th,4, Never-married, Handlers-cleaners, Not-in-family, White, Male,13,0,40, Mexico, <=50K
47, Self-emp-not-inc,107733, Some-college,10, Widowed, Craft-repair, Not-in-family, White, Male,23,0,67, United-States, <=50K
58, Private,107161, Some-college,10, Separated, Prof-specialty, Unmarried, White, Female,14,0,30, United-States, <=50K
62, Private,138621, HS-grad,9, Never-married, Sales, Own-child, White, Female,14,0,19, Jamaica, <=50K
38, Private,231819, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,14953,0,40, United-States, <=50K
41, Self-emp-not-inc,494402, HS-grad,9, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,8,0,57, United-States, <=50K
59, Private,174114, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,23,0,57, United-States, >50K
30, Private,156109, Masters,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, ?, <=50K
22, Private,124901, 11th,11, Never-married, Handlers-cleaners, Not-in-family, White, Male,21,0,40, United-States, <=50K
44, Private,105817, 7th-8th,6, Divorced, Craft-repair, Not-in-family, White, Female,3,1,40, United-States, <=50K
57, Self-emp-not-inc,60968, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,13,0,40, United-States, <=50K
59, Private,370598, HS-grad,9, Widowed, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private,230067, HS-grad,9, Separated, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
61, Private,210063, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,19,1,40, United-States, <=50K
23, Private,79931, Assoc-acdm,13, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,6,1,40, United-States, <=50K
28, Federal-gov,156894, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,16,0,40, Jamaica, <=50K
44, Federal-gov,285388, 10th,6, Married-spouse-absent, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
67, Self-emp-not-inc,126259, Some-college,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,22, United-States, <=50K
71, Private,388565, Some-college,10, Never-married, Sales, Unmarried, White, Female,12,0,30, United-States, <=50K
19, ?,190885, Assoc-acdm,13, Never-married, ?, Own-child, White, Male,0,0,67, United-States, <=50K
37, Self-emp-not-inc,72874, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private,124415, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,277210, 1st-4th,3, Divorced, Machine-op-inspct, Not-in-family, White, Female,12,0,30, Puerto-Rico, <=50K
41, Without-pay,116723, Prof-school,16, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,48, United-States, <=50K
76, State-gov,183662, Masters,6, Married-civ-spouse, Other-service, Husband, White, Male,12,0,40, United-States, <=50K
69, Self-emp-not-inc,36632, 11th,4, Separated, Craft-repair, Unmarried, White, Female,3389,0,10, United-States, <=50K
33, Private,245163, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,27,0,57, United-States, <=50K
54, Private,218155, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,40, United-States, >50K
28, Self-emp-not-inc,100852, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,2728,0,29, United-States, <=50K
65, Private,217679, HS-grad,9, Widowed, Tech-support, Not-in-family, White, Female,14,0,40, United-States, <=50K
36, Private,174123, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,13,0,35, United-States, <=50K
17, Private,150812, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,7, United-States, <=50K
45, Private,171438, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
43, Self-emp-not-inc,372314, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,18,1909,40, United-States, >50K
20, Private,232450, HS-grad,11, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
27, Private,255588, 5th-6th,4, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,19, Cuba, <=50K
58, Self-emp-not-inc,198188, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,55, United-States, <=50K
30, Private,152403, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,21,0,37, United-States, <=50K
24, Private,336705, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,0,0,11, Mexico, <=50K
25, Self-emp-not-inc,298536, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
54, Private,277870, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,18,0,40, United-States, >50K
61, State-gov,338799, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,7,0,40, United-States, <=50K
65, Self-emp-not-inc,231979, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,58, United-States, <=50K
47, Federal-gov,311804, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,13,0,40, United-States, <=50K
62, Self-emp-not-inc,117551, 1st-4th,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,18,0,64, United-States, <=50K
26, Federal-gov,32461, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,3392,0,40, United-States, <=50K
47, Self-emp-inc,135183, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,13,0,70, United-States, >50K
77, Self-emp-not-inc,301620, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,17,0,63, United-States, <=50K
27, Self-emp-not-inc,185154, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Male,7,0,35, United-States, <=50K
70, Private,345981, 7th-8th,4, Married-AF-spouse, ?, Unmarried, White, Female,19,0,35, Nicaragua, <=50K
68, Self-emp-not-inc,45574, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,12,0,49, United-States, <=50K
42, Private,364213, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
90, Self-emp-inc,176480, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,5,0,30, United-States, <=50K
28, Private,313463, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,58, United-States, <=50K
43, State-gov,274448, Masters,14, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
40, Private,211701, HS-grad,9, Never-married, Other-service, Own-child, White, Female,2627,0,40, United-States, <=50K
20, Local-gov,116547, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,7,0,30, United-States, <=50K
19, Self-emp-not-inc,279369, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,30, England, <=50K
44, Private,381002, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,3,0,40, United-States, <=50K
35, Self-emp-not-inc,325775, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White, Male,3,0,57, United-States, <=50K
25, Private,329094, 7th-8th,4, Separated, Other-service, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
62, Self-emp-not-inc,33104, HS-grad,9, Widowed, Exec-managerial, Unmarried, White, Female,1,0,58, United-States, <=50K
61, State-gov,118342, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
34, Private,28547, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,57, United-States, <=50K
21, Private,161563, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc,139464, Bachelors,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,29,0,71, United-States, >50K
38, Private,172497, Doctorate,16, Divorced, Prof-specialty, Unmarried, White, Male,18,0,55, United-States, >50K
61, Local-gov,43016, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,49, United-States, >50K
35, Private,183416, Masters,14, Never-married, Tech-support, Not-in-family, White, Female,5,0,40, United-States, <=50K
